LocationID	Customer ID	City	State	Country	PostalCode	Region
53	CB-12535	Mexico City	Distrito Federal	Mexico		North
54	CR-12625	Lakewood	New Jersey	United States	8701	East
55	DB-13270	Barcelona	Catalonia	Spain		South
56	QJ-19255	Detroit	Michigan	United States	48234	Central
57	EB-13930	Townsville	Queensland	Australia		Oceania
58	AA-375	Lodz	Lodz	Poland		EMEA
59	MC-17425	Jaipur	Rajasthan	India		Central Asia
60	AJ-10795	Wigan	England	United Kingdom		North
61	AJ-945	Mogadishu	Banaadir	Somalia		Africa
62	MP-18175	Yuci	Shanxi	China		North Asia
63	LW-16825	Deltona	Florida	United States	32725	South
64	FW-14395	Antiguo Cuscatlán	La Libertad	El Salvador		Central
65	JH-16180	Coventry	England	United Kingdom		North
66	SP-10860	Ibadan	Oyo	Nigeria		Africa
67	Dl-13600	Seattle	Washington	United States	98105	West
68	MT-17815	Shanghai	Shanghai	China		North Asia
69	JF-5190	Beykoz	Istanbul	Turkey		EMEA
70	CS-2460	Wad Madani	Gezira	Sudan		Africa
71	CT-11995	Champigny-sur-Marne	Ile-de-France	France		Central
72	RD-19810	Leverkusen	North Rhine-Westphalia	Germany		Central
73	JL-5850	Nitra	Nitra	Slovakia		EMEA
74	HG-4845	Cairo	Al Qahirah	Egypt		Africa
75	DV-3045	Lagos	Lagos	Nigeria		Africa
76	JF-15565	Manila	National Capital	Philippines		Southeast Asia
77	LC-6870	Abha	'Asir	Saudi Arabia		EMEA
78	JL-5835	Zaria	Kaduna	Nigeria		Africa
79	BF-10975	Charlotte	North Carolina	United States	28205	South
80	FH-4365	Ankara	Ankara	Turkey		EMEA
81	IL-15100	San Francisco	California	United States	94122	West
82	KB-6600	Kerman	Kerman	Iran		EMEA
83	DH-3075	Istanbul	Istanbul	Turkey		EMEA
84	AG-525	Kinshasa	Kinshasa	Democratic Republic of the Congo		Africa
85	AS-10630	Philadelphia	Pennsylvania	United States	19120	East
86	MN-17935	Hefei	Anhui	China		North Asia
87	EM-13960	Liverpool	England	United Kingdom		North
88	TB-21055	Managua	Managua	Nicaragua		Central
89	FH-14365	Drammen	Buskerud	Norway		North
90	LH-16900	New York City	New York	United States	10009	East
91	JS-5595	Montréal	Quebec	Canada		Canada
92	LB-16795	Ayacucho	Ayacucho	Peru		South
93	DL-12865	New Plymouth	Taranaki	New Zealand		Oceania
94	ES-14080	Mexico City	Distrito Federal	Mexico		North
95	GP-14740	León	León	Nicaragua		Central
96	JL-15130	Houston	Texas	United States	77036	Central
97	PN-18775	Jena	Thuringia	Germany		Central
98	BO-11425	Manila	National Capital	Philippines		Southeast Asia
99	DB-12910	High Wycombe	England	United Kingdom		North
100	JL-5130	Cairo	Al Qahirah	Egypt		Africa
101	LT-16765	Escondido	California	United States	92025	West
102	CC-12610	Marseille	Provence-Alpes-Côte d'Azur	France		Central
103	SW-10755	Kismaayo	Jubbada Hoose	Somalia		Africa
104	AC-615	Nairobi	Nairobi	Kenya		Africa
105	EH-14185	Santa Clara	Villa Clara	Cuba		Caribbean
106	GH-4665	Budapest	Budapest	Hungary		EMEA
107	AF-870	Bukavu	South Kivu	Democratic Republic of the Congo		Africa
108	EB-13750	Caracas	Distrito Capital	Venezuela		South
109	NF-18475	Reno	Nevada	United States	89502	West
110	RA-19915	Denver	Colorado	United States	80219	West
111	MV-17485	Singapore	Singapore	Singapore		Southeast Asia
112	DF-13135	Slough	England	United Kingdom		North
113	HR-4770	Jeddah	Makkah	Saudi Arabia		EMEA
114	MK-18160	Seoul	Seoul	South Korea		North Asia
115	LC-7140	Surrey	British Columbia	Canada		Canada
116	JG-15115	Messina	Sicily	Italy		South
117	KH-16630	Charlotte	North Carolina	United States	28205	South
118	ND-18370	Portland	Oregon	United States	97206	West
119	JG-15805	Mexico City	Distrito Federal	Mexico		North
120	RB-19330	Norderstedt	Schleswig-Holstein	Germany		Central
121	TT-21460	El Progreso	Yoro	Honduras		Central
122	CM-1815	Mwanza	Mwanza	Tanzania		Africa
123	DL-12925	Long Beach	New York	United States	11561	East
124	BD-11635	Ludhiana	Punjab	India		Central Asia
125	KD-16270	Magdeburg	Saxony-Anhalt	Germany		Central
126	AA-10480	Castres	Midi-Pyrénées	France		Central
127	DG-13300	Orange	New Jersey	United States	7050	East
128	CD-2790	Uskudar	Istanbul	Turkey		EMEA
129	JO-15145	Richmond	Kentucky	United States	40475	South
130	ML-17410	Santo Domingo	Santo Domingo	Dominican Republic		Caribbean
131	EA-14035	Mason	Ohio	United States	45040	East
132	AH-75	Kenitra	Gharb-Chrarda-Béni Hssen	Morocco		Africa
133	FC-4245	Akhisar	Manisa	Turkey		EMEA
134	SJ-10215	Mallawi	Al Minya	Egypt		Africa
135	PL-18925	Los Angeles	California	United States	90049	West
136	EM-3825	Korce	Korçë	Albania		EMEA
137	SM-20950	Chicago	Illinois	United States	60610	Central
138	JD-15790	Cosmópolis	São Paulo	Brazil		South
139	RP-19390	Madison	Wisconsin	United States	53711	Central
140	MG-17875	Genk	Limburg	Belgium		Central
141	JK-15730	Columbus	Ohio	United States	43229	East
142	MC-17605	Houston	Texas	United States	77070	Central
143	YC-21895	Manukau City	Auckland	New Zealand		Oceania
144	SL-20155	Valencia	Valenciana	Spain		South
145	AA-10645	Lowell	Massachusetts	United States	1852	East
146	AH-10585	Kabul	Kabul	Afghanistan		Central Asia
147	CV-12295	Sucre	Chuquisaca	Bolivia		South
148	SC-20725	Paris	Ile-de-France	France		Central
149	KT-16465	Ho Chi Minh City	Ho Chí Minh City	Vietnam		Southeast Asia
150	CB-12415	Takatsuki	Osaka	Japan		North Asia
151	AR-10510	Mixco	Guatemala	Guatemala		Central
152	BT-1530	Bissau	Bissau	Guinea-Bissau		Africa
153	KA-16525	Managua	Managua	Nicaragua		Central
154	JM-16195	Valladolid	Castile and León	Spain		South
155	TR-21325	San Francisco	California	United States	94122	West
156	TB-21280	Jacksonville	North Carolina	United States	28540	South
157	CM-11830	Choluteca	Choluteca	Honduras		Central
158	BM-11140	Igarassu	Pernambuco	Brazil		South
159	FG-4260	Ibadan	Oyo	Nigeria		Africa
160	MM-7260	St. Catharines	Ontario	Canada		Canada
161	EB-13705	Seville	Andalusía	Spain		South
162	EB-13840	Rosenheim	Bavaria	Germany		Central
163	BD-11500	Green Bay	Wisconsin	United States	54302	Central
164	KL-16645	Barcelona	Catalonia	Spain		South
165	JM-15580	London	England	United Kingdom		North
166	GD-14590	Bangkok	Bangkok	Thailand		Southeast Asia
167	DN-13690	Port Macquarie	New South Wales	Australia		Oceania
168	CC-12430	Bendigo	Victoria	Australia		Oceania
169	MZ-17515	Bekasi	Jawa Barat	Indonesia		Southeast Asia
170	NW-8400	Baghdad	Baghdad	Iraq		EMEA
171	NH-18610	Philadelphia	Pennsylvania	United States	19120	East
172	FH-14275	Las Tunas	Las Tunas	Cuba		Caribbean
173	KN-16705	New York City	New York	United States	10009	East
174	RD-19585	Athens	Georgia	United States	30605	South
175	HL-15040	Rajshahi	Rajshahi	Bangladesh		Central Asia
176	EB-13870	Sydney	New South Wales	Australia		Oceania
177	TM-21490	Yicheng	Hubei	China		North Asia
178	AH-10690	Virginia Beach	Virginia	United States	23464	South
179	CS-2355	Rabat	Rabat-Salé-Zemmour-Zaer	Morocco		Africa
180	PC-18745	Ho Chi Minh City	Ho Chí Minh City	Vietnam		Southeast Asia
181	SC-20020	Houston	Texas	United States	77095	Central
182	JK-15325	Suzhou	Anhui	China		North Asia
183	CS-11860	Lakeland	Florida	United States	33801	South
184	BD-11320	Pontoise	Ile-de-France	France		Central
185	RB-9435	Sumy	Sumy	Ukraine		EMEA
186	RD-19720	Singapore	Singapore	Singapore		Southeast Asia
187	RH-19495	Jakarta	Jakarta	Indonesia		Southeast Asia
188	VD-21670	Yangon	Yangon	Myanmar (Burma)		Southeast Asia
189	RH-9510	Port Harcourt	Rivers	Nigeria		Africa
190	JF-15355	Krefeld	North Rhine-Westphalia	Germany		Central
191	GA-4515	Kinshasa	Kinshasa	Democratic Republic of the Congo		Africa
192	BV-11245	London	England	United Kingdom		North
193	CJ-12010	Apopa	San Salvador	El Salvador		Central
194	SV-20785	Roswell	Georgia	United States	30076	South
195	RB-19465	Bendigo	Victoria	Australia		Oceania
196	BS-11755	Singapore	Singapore	Singapore		Southeast Asia
197	BK-11260	Guayaquil	Guayas	Ecuador		South
198	SW-20755	Groningen	Groningen	Netherlands		Central
199	DW-13585	Adelaide	South Australia	Australia		Oceania
200	RH-19600	Marseille	Provence-Alpes-Côte d'Azur	France		Central
201	AT-10435	Jakarta	Jakarta	Indonesia		Southeast Asia
202	CK-12325	Orem	Utah	United States	84057	West
203	BM-1140	Lagos	Lagos	Nigeria		Africa
204	EH-13945	Plainfield	New Jersey	United States	7060	East
205	TD-20995	Dublin	Dublin	Ireland		North
206	SN-20710	Santo Domingo	Santo Domingo	Dominican Republic		Caribbean
207	BP-1230	Port Harcourt	Rivers	Nigeria		Africa
208	VG-21805	Surat	Gujarat	India		Central Asia
209	CC-2670	Accra	Greater Accra	Ghana		Africa
210	JS-15940	Tegucigalpa	Francisco Morazán	Honduras		Central
211	NL-18310	Cestas	Aquitaine	France		Central
212	AG-675	Vienna	Vienna	Austria		EMEA
213	BM-11575	Ningbo	Zhejiang	China		North Asia
214	SC-20095	Fayetteville	Arkansas	United States	72701	South
215	JJ-15445	Wattrelos	Nord-Pas-de-Calais	France		Central
216	GA-14515	Las Pinas	National Capital	Philippines		Southeast Asia
217	SB-20170	Yangzhou	Jiangsu	China		North Asia
218	BM-11785	Buffalo Grove	Illinois	United States	60089	Central
219	AG-10525	Houston	Texas	United States	77095	Central
220	JP-15520	Buenos Aires	Buenos Aires	Argentina		South
221	EH-4125	Mecca	Makkah	Saudi Arabia		EMEA
222	WB-21850	Chengdu	Sichuan	China		North Asia
223	AF-10870	Port Macquarie	New South Wales	Australia		Oceania
224	TH-21100	Manila	National Capital	Philippines		Southeast Asia
225	KD-16345	New York City	New York	United States	10009	East
226	SC-20770	Bhopal	Madhya Pradesh	India		Central Asia
227	TS-21655	Vienna	Vienna	Austria		Central
228	PN-8775	Fianarantsoa	Haute-Matsiatra	Madagascar		Africa
229	SO-10335	Kinshasa	Kinshasa	Democratic Republic of the Congo		Africa
230	RB-19435	Mangalore	Karnataka	India		Central Asia
231	CL-12565	New York City	New York	United States	10009	East
232	JE-5715	Izmir	Izmir	Turkey		EMEA
233	BW-11200	Malang	Jawa Timur	Indonesia		Southeast Asia
234	BT-11305	Lázaro Cárdenas	Michoacán	Mexico		North
235	BD-11560	Leipzig	Saxony	Germany		Central
236	JK-16120	Fort Lauderdale	Florida	United States	33311	South
237	TB-11520	Sterlitamak	Bashkortostan	Russia		EMEA
238	MH-17290	Hamburg	Hamburg	Germany		Central
239	PR-18880	Nuremberg	Bavaria	Germany		Central
240	SH-20395	San Francisco	California	United States	94122	West
241	CA-12775	Satna	Madhya Pradesh	India		Central Asia
242	MF-7665	Kerman	Kerman	Iran		EMEA
243	DB-13405	Miramar	Tamaulipas	Mexico		North
244	BS-11365	Ipswich	England	United Kingdom		North
245	HA-14920	Palermo	Sicily	Italy		South
246	NC-8625	St. John's	Newfoundland	Canada		Canada
247	FH-4350	Mersin	Mersin	Turkey		EMEA
248	BS-11665	Brasília	Federal District	Brazil		South
249	PO-18850	Irving	Texas	United States	75061	Central
250	JH-5985	Bejaia	Bejaia	Algeria		Africa
251	JO-5550	Ibadan	Oyo	Nigeria		Africa
252	RM-9675	Budapest	Budapest	Hungary		EMEA
253	NC-18340	Chigasaki	Kanagawa	Japan		North Asia
254	MT-18070	San Pedro Sula	Cortés	Honduras		Central
255	DP-13165	New York City	New York	United States	10035	East
256	AH-10210	Paris	Ile-de-France	France		Central
257	LW-7215	Casablanca	Grand Casablanca	Morocco		Africa
258	EB-3750	Sarajevo	Federation of Bosnia and Herzegovina	Bosnia and Herzegovina		EMEA
259	RS-19765	Singapore	Singapore	Singapore		Southeast Asia
260	XP-21865	Christchurch	Canterbury	New Zealand		Oceania
261	ON-18715	Clinton	Maryland	United States	20735	East
262	NM-18445	La Baule-Escoublac	Pays de la Loire	France		Central
263	JD-16060	Changchun	Jilin	China		North Asia
264	MG-17680	Offenbach	Hesse	Germany		Central
265	KN-16390	Columbus	Ohio	United States	43229	East
266	RM-19675	Villeurbanne	Rhône-Alpes	France		Central
267	MD-17860	Corpus Christi	Texas	United States	78415	Central
268	TP-11565	Diyarbakir	Diyarbakir	Turkey		EMEA
269	KN-16450	Huddersfield	England	United Kingdom		North
270	EM-13825	Sandy Springs	Georgia	United States	30328	South
271	MC-17575	Chicago	Illinois	United States	60623	Central
272	LW-6990	Mosul	Ninawa	Iraq		EMEA
273	LB-16735	Manila	National Capital	Philippines		Southeast Asia
274	DD-13570	Southport	England	United Kingdom		North
275	DP-13390	Kuching	Sarawak	Malaysia		Southeast Asia
276	JO-5280	Yazd	Yazd	Iran		EMEA
277	NG-8355	Mashhad	Razavi Khorasan	Iran		EMEA
278	JG-5115	Dar es Salaam	Dar Es Salaam	Tanzania		Africa
279	ML-17755	Uppsala	Uppsala	Sweden		North
280	DB-3210	Lagos	Lagos	Nigeria		Africa
281	TS-21160	Zunyi	Guizhou	China		North Asia
282	SW-10455	Luanda	Luanda	Angola		Africa
283	CD-12790	San Diego	California	United States	92037	West
284	SC-10230	Elbasan	Elbasan	Albania		EMEA
285	MV-18190	Tongi	Dhaka	Bangladesh		Central Asia
286	MW-18235	Santo Domingo	Santo Domingo	Dominican Republic		Caribbean
287	BW-1200	Casablanca	Grand Casablanca	Morocco		Africa
288	SF-10065	Iasi	Iasi	Romania		EMEA
289	JS-15595	Columbus	Ohio	United States	43229	East
290	EJ-14155	San Diego	California	United States	92037	West
291	AP-10720	New York City	New York	United States	10035	East
292	AP-720	Cairo	Al Qahirah	Egypt		Africa
293	CC-2370	Algiers	Alger	Algeria		Africa
294	AJ-960	Onitsha	Anambra	Nigeria		Africa
295	TS-11085	Jerusalem	Jerusalem	Israel		EMEA
296	RB-19705	Nantes	Pays de la Loire	France		Central
297	YS-11880	Mashhad	Razavi Khorasan	Iran		EMEA
298	CC-12220	San Pedro Sula	Cortés	Honduras		Central
299	AJ-10945	Wilmington	North Carolina	United States	28403	South
300	KE-16420	Los Angeles	California	United States	90008	West
301	TR-11325	Dar es Salaam	Dar Es Salaam	Tanzania		Africa
302	CC-2475	London	Ontario	Canada		Canada
303	JR-15670	Baotou	Inner Mongolia	China		North Asia
304	EH-3990	Kisangani	Orientale	Democratic Republic of the Congo		Africa
305	AM-10705	Puebla	Puebla	Mexico		North
306	MV-7485	Bujumbura	Bujumbura-Mairie	Burundi		Africa
307	JM-15265	Ho Chi Minh City	Ho Chí Minh City	Vietnam		Southeast Asia
308	NC-18415	Yonkers	New York	United States	10701	East
309	CC-2550	Kharkiv	Kharkiv	Ukraine		EMEA
310	SV-20935	Melbourne	Victoria	Australia		Oceania
311	MS-17365	Xingtai	Hebei	China		North Asia
312	RE-19450	Decatur	Illinois	United States	62521	Central
313	FW-4395	Yaounde	Centre	Cameroon		Africa
314	RW-9690	Dar es Salaam	Dar Es Salaam	Tanzania		Africa
315	SF-20065	Brisbane	Queensland	Australia		Oceania
316	AR-10345	Aracaju	Sergipe	Brazil		South
317	BD-1635	Corum	Corum	Turkey		EMEA
318	PP-8955	Alexandria	Al Iskandariyah	Egypt		Africa
319	AT-435	Cape Town	Western Cape	South Africa		Africa
320	EB-3930	Kinshasa	Kinshasa	Democratic Republic of the Congo		Africa
321	AY-10555	Mixco	Guatemala	Guatemala		Central
322	RB-19795	Midland	Michigan	United States	48640	Central
323	RS-9870	Fes	Fès-Boulemane	Morocco		Africa
324	DM-13525	Muzaffarpur	Bihar	India		Central Asia
325	MW-8220	Salavat	Bashkortostan	Russia		EMEA
326	JL-5175	Jerusalem	Jerusalem	Israel		EMEA
327	JG-15310	Limoges	Limousin	France		Central
328	RM-9375	Haifa	Haifa	Israel		EMEA
329	HM-4860	Dakar	Dakar	Senegal		Africa
330	DC-12850	Marseille	Provence-Alpes-Côte d'Azur	France		Central
331	DL-13330	Berlin	Berlin	Germany		Central
332	RA-19885	Huddersfield	England	United Kingdom		North
333	CM-12715	Moa	Holguín	Cuba		Caribbean
334	GG-14650	Shenzhen	Guangdong	China		North Asia
335	GH-14410	Glendale	Arizona	United States	85301	West
336	HJ-14875	San Salvador	San Salvador	El Salvador		Central
337	KM-16660	Biarritz	Aquitaine	France		Central
338	JR-5700	Istanbul	Istanbul	Turkey		EMEA
339	TS-21610	Altotonga	Veracruz	Mexico		North
340	AG-10390	New York City	New York	United States	10009	East
341	BF-11170	Oslo	Oslo	Norway		North
342	MR-17545	Houston	Texas	United States	77095	Central
343	RL-19615	Nova Serrana	Minas Gerais	Brazil		South
344	ED-13885	Los Mochis	Sinaloa	Mexico		North
345	JK-15205	Alice Springs	Northern Territory	Australia		Oceania
346	KB-16315	Villa Nueva	Guatemala	Guatemala		Central
347	FP-14320	Brisbane	Queensland	Australia		Oceania
348	BP-11290	Evanston	Illinois	United States	60201	Central
349	EH-3945	Qom	Qom	Iran		EMEA
350	SD-20485	Makati	National Capital	Philippines		Southeast Asia
351	AG-10900	Novara	Piedmont	Italy		South
352	DO-13435	Columbus	Ohio	United States	43229	East
353	AR-10405	Los Angeles	California	United States	90036	West
354	BS-1590	Tbilisi	Tbilisi	Georgia		EMEA
355	PO-8865	Ajman	'Ajman	United Arab Emirates		EMEA
356	JH-5430	Mississauga	Ontario	Canada		Canada
357	RD-19930	Dallas	Texas	United States	75217	Central
358	SM-20905	San Salvador	San Salvador	El Salvador		Central
359	DP-13105	Gold Coast	Queensland	Australia		Oceania
360	GM-14680	Amsterdam	North Holland	Netherlands		Central
361	EH-14005	Nueva Gerona	Isla de la Juventud	Cuba		Caribbean
362	DL-13495	Faridabad	Haryana	India		Central Asia
363	RW-19540	Allauch	Provence-Alpes-Côte d'Azur	France		Central
364	SG-20605	New York City	New York	United States	10009	East
365	SA-20830	Erfurt	Thuringia	Germany		Central
366	SW-20455	Medan	Sumatera Utara	Indonesia		Southeast Asia
367	GT-14755	Hamburg	Hamburg	Germany		Central
368	MC-17845	Bangkok	Bangkok	Thailand		Southeast Asia
369	MS-17770	Lancaster	Pennsylvania	United States	17602	East
370	CC-2145	Adana	Adana	Turkey		EMEA
371	AT-10735	Nashville	Tennessee	United States	37211	South
372	MO-17950	Montreuil	Ile-de-France	France		Central
373	AB-10015	Guadalajara	Jalisco	Mexico		North
374	TB-21520	Darwin	Northern Territory	Australia		Oceania
375	HG-4965	Lagos	Lagos	Nigeria		Africa
376	TC-21535	Los Angeles	California	United States	90049	West
377	DM-13345	Orange	New Jersey	United States	7050	East
378	LR-17035	Hamburg	Hamburg	Germany		Central
379	GM-14500	Managua	Managua	Nicaragua		Central
380	HF-14995	Siegen	North Rhine-Westphalia	Germany		Central
381	JB-15925	Jember	Jawa Timur	Indonesia		Southeast Asia
382	TC-21145	Sousa	Paraíba	Brazil		South
383	NG-18430	Oklahoma City	Oklahoma	United States	73120	Central
384	CM-12385	Ilopango	San Salvador	El Salvador		Central
385	HG-14845	Ho Chi Minh City	Ho Chí Minh City	Vietnam		Southeast Asia
386	MC-17635	Saint Louis	Missouri	United States	63116	Central
387	MH-17785	Mérida	Yucatán	Mexico		North
388	AP-10915	Valence	Rhône-Alpes	France		Central
389	AW-10930	Santiago de Cuba	Santiago de Cuba	Cuba		Caribbean
390	GT-14635	Birmingham	England	United Kingdom		North
391	DP-13000	Houston	Texas	United States	77095	Central
392	JC-5340	Khartoum	Khartoum	Sudan		Africa
393	CC-12370	Lower Hutt	Wellington	New Zealand		Oceania
394	TS-11430	Johannesburg	Gauteng	South Africa		Africa
395	BT-11485	Grenoble	Rhône-Alpes	France		Central
396	AS-630	Lagos	Lagos	Nigeria		Africa
397	BE-11455	Chengdu	Sichuan	China		North Asia
398	DM-13015	Managua	Managua	Nicaragua		Central
399	PW-9240	Istanbul	Istanbul	Turkey		EMEA
400	LP-17095	Bogotá	Bogota	Colombia		South
401	AG-10495	Saint-Priest	Rhône-Alpes	France		Central
402	DA-3450	Kinshasa	Kinshasa	Democratic Republic of the Congo		Africa
403	BW-11065	Limeira	São Paulo	Brazil		South
404	KB-16585	Lafayette	Louisiana	United States	70506	South
405	MS-17710	Detroit	Michigan	United States	48205	Central
406	CL-1890	Kinshasa	Kinshasa	Democratic Republic of the Congo		Africa
407	BT-1440	Kayseri	Kayseri	Turkey		EMEA
408	NM-8445	Cairo	Al Qahirah	Egypt		Africa
409	PK-18910	San Francisco	California	United States	94109	West
410	DJ-13420	Ulm	Baden-Württemberg	Germany		Central
411	SF-20200	London	England	United Kingdom		North
412	SC-20800	Munich	Bavaria	Germany		Central
413	TZ-21580	Cologne	North Rhine-Westphalia	Germany		Central
414	EM-14200	Moers	North Rhine-Westphalia	Germany		Central
415	ES-4080	Bur Sudan	Red Sea	Sudan		Africa
416	GT-4755	Pretoria	Gauteng	South Africa		Africa
417	PM-18940	Jackson	Michigan	United States	49201	Central
418	LA-16780	São Gonçalo	Rio de Janeiro	Brazil		South
419	BT-11440	New York City	New York	United States	10035	East
420	GK-14620	Edinburgh	Scotland	United Kingdom		North
421	TH-11550	Lagos	Lagos	Nigeria		Africa
422	MP-17470	Columbus	Ohio	United States	43229	East
423	RB-19360	Panama City	Panama	Panama		Central
424	AA-10315	Marikina	National Capital	Philippines		Southeast Asia
425	JS-16030	Ho Chi Minh City	Ho Chí Minh City	Vietnam		Southeast Asia
426	DL-13315	La Romana	La Romana	Dominican Republic		Caribbean
427	SV-10785	Dnipropetrovs'k	Dnipropetrovs'k	Ukraine		EMEA
428	RC-19960	Ashford	England	United Kingdom		North
429	ML-18040	Aix-en-Provence	Provence-Alpes-Côte d'Azur	France		Central
430	JP-5460	Mashhad	Razavi Khorasan	Iran		EMEA
431	RH-9555	Riyadh	Ar Riyad	Saudi Arabia		EMEA
432	ML-17395	Bangor	Maine	United States	4401	East
433	LD-16855	Gómez Palacio	Durango	Mexico		North
434	EN-13780	Chennai	Tamil Nadu	India		Central Asia
435	DK-2835	Baghdad	Baghdad	Iraq		EMEA
436	PW-19030	Port Macquarie	New South Wales	Australia		Oceania
437	LR-6915	Zwedru	Grand Gedeh	Liberia		Africa
438	CP-2085	Izmir	Izmir	Turkey		EMEA
439	JJ-15760	Montreuil	Ile-de-France	France		Central
440	CM-2445	Hradec Kralove	Hradec Kralove	Czech Republic		EMEA
441	PO-19195	Blumenau	Santa Catarina	Brazil		South
442	BF-11215	Cirebon	Jawa Barat	Indonesia		Southeast Asia
443	AG-270	Bertoua	Est	Cameroon		Africa
444	VM-21835	Villa Nueva	Guatemala	Guatemala		Central
445	AH-10465	Soyapango	San Salvador	El Salvador		Central
446	JD-16015	Seattle	Washington	United States	98115	West
447	AB-10255	Dewas	Madhya Pradesh	India		Central Asia
448	MO-17800	Santo Domingo	Santo Domingo	Dominican Republic		Caribbean
449	FM-14290	Spanish Town	Saint Catherine	Jamaica		Caribbean
450	HK-14890	Drancy	Ile-de-France	France		Central
451	CS-11845	Oruro	Oruro	Bolivia		South
452	JL-15835	Soyapango	San Salvador	El Salvador		Central
453	MM-18055	Tarragona	Catalonia	Spain		South
454	RW-9630	Natitingou	Atakora	Benin		Africa
455	RA-9285	Corum	Corum	Turkey		EMEA
456	MH-17455	Cinisello Balsamo	Lombardy	Italy		South
457	GM-4440	Sale	Rabat-Salé-Zemmour-Zaer	Morocco		Africa
458	DB-13615	Munich	Bavaria	Germany		Central
459	NF-18385	Hildesheim	Lower Saxony	Germany		Central
460	MK-17905	San Salvador	San Salvador	El Salvador		Central
461	HG-5025	Abadan	Khuzestan	Iran		EMEA
462	MS-17530	San Diego	California	United States	92037	West
463	DS-13180	São Paulo	São Paulo	Brazil		South
464	SZ-20035	New York City	New York	United States	10011	East
465	Dp-13240	Panama City	Panama	Panama		Central
466	BM-1650	Vaughan	Ontario	Canada		Canada
467	TH-21235	Long Beach	California	United States	90805	West
468	DP-3000	Mogadishu	Banaadir	Somalia		Africa
469	CP-12085	New York City	New York	United States	10024	East
470	JH-15430	Poza Rica de Hidalgo	Veracruz	Mexico		North
471	MG-17890	Echirolles	Rhône-Alpes	France		Central
472	AW-840	Gaziantep	Gaziantep	Turkey		EMEA
473	MH-17440	Escondido	California	United States	92025	West
474	AB-10150	Yonkers	New York	United States	10701	East
475	BP-1050	Gliwice	Silesia	Poland		EMEA
476	GM-14695	Alexandria	Virginia	United States	22304	South
477	BB-10990	Sukkur	Sindh	Pakistan		Central Asia
478	RD-19900	Dearborn Heights	Michigan	United States	48127	Central
479	TH-21115	Jalalabad	Nangarhar	Afghanistan		Central Asia
480	NC-8535	Kinshasa	Kinshasa	Democratic Republic of the Congo		Africa
481	TH-21550	New York City	New York	United States	10035	East
482	RP-19855	Richmond	Kentucky	United States	40475	South
